iter	MultiClass
0	-1.569642416
1	-1.528179168
2	-1.49618094
3	-1.457827594
4	-1.433853447
5	-1.399462689
6	-1.367661105
7	-1.334130401
8	-1.299963917
9	-1.271394994
10	-1.244709
11	-1.226349013
12	-1.210900295
13	-1.179888407
14	-1.157252448
15	-1.134935789
16	-1.113438939
17	-1.092599745
18	-1.072978379
19	-1.050696126
20	-1.033193497
21	-1.016722156
22	-0.9981212445
23	-0.982912237
24	-0.9686526409
25	-0.9575386827
26	-0.9422895335
27	-0.9279773012
28	-0.9087862671
29	-0.8955095637
30	-0.8802502176
31	-0.8679684407
32	-0.8579357457
33	-0.8431364799
34	-0.8319383306
35	-0.8191033476
36	-0.8044105615
37	-0.7930253268
38	-0.7851425781
39	-0.7711204078440	-0.7587037306441	-0.7465335354242	-0.7394149474343	-0.7324954644444	-0.7232669144545	-0.7138318594646	-0.7041764544747	-0.6943409014848	-0.6837513349	49	-0.6732615850	50	-0.6641050751	51	-0.657820825252	-0.652100953553	-0.6450155754	54	-0.6365162355	55	-0.629172425656	-0.6217031485757	-0.616564785558	-0.6095267031559	-0.6015129248660	-0.5947115046661	-0.5866395058662	-0.5811426636663	-0.5767192153664	-0.5704546744665	-0.5645948426666	-0.5578107644667	-0.5521471909668	-0.5470374675669	-0.5420441296770	-0.5347435792771	-0.528520555
72	-0.5248841106
73	-0.5198678756
74	-0.514505722
75	-0.5106564329
76	-0.5079065474
77	-0.5046202509
78	-0.498681316
79	-0.4937199214
80	-0.4878330306
81	-0.4831228581
82	-0.4779283388883	-0.4726009031884	-0.4693605945885	-0.4655291913886	-0.463331082
87	-0.4586980143
88	-0.4553843076
89	-0.4518530675
90	-0.4469927121
91	-0.4440683342
92	-0.4406559522993	-0.4362917039994	-0.43226949
95	-0.42924803
96	-0.4256742754
97	-0.4219547913
98	-0.4182715586
99	-0.4143639158
9
