iter	MultiClass
0	-1.567829373
1	-1.5275955
2	-1.488418313
3	-1.455243819
4	-1.417868712
5	-1.374846162
6	-1.339015589
7	-1.303497507
8	-1.275920334
9	-1.246025303
10	-1.2090561
11	-1.183714472
12	-1.1535655
13	-1.126226913
14	-1.095637974
15	-1.070199858
16	-1.046161746
17	-1.019406363
18	-0.9952070751
19	-0.9734967201
20	-0.9560241214
21	-0.9352382421
22	-0.9173516263
23	-0.9035637327
24	-0.8857413981
25	-0.8671632691
26	-0.8511482667
27	-0.8365472288
28	-0.8191028282
29	-0.8063617304
30	-0.7886437383
31	-0.7747263457
32	-0.7618709134
33	-0.7478707178
34	-0.7344267668
35	-0.7230412634
36	-0.7100536318
37	-0.6954556186
38	-0.6838478113
39	-0.6714221919
40	-0.6596053412
41	-0.6497130151
42	-0.638886095
43	-0.6245440941
44	-0.6143801744
45	-0.6050235094
46	-0.594639468
47	-0.5837524679
48	-0.572321641
49	-0.5637294888
50	-0.553193314
51	-0.5456564976
52	-0.5378176339
53	-0.5267931086
54	-0.5192821332
55	-0.5124727396
56	-0.5036219571
57	-0.4955682098
58	-0.4870670398
59	-0.4790760526
60	-0.4728963654
61	-0.4651431335
62	-0.4565311589
63	-0.4497715545
64	-0.442986102
65	-0.436315792
66	-0.429815937
67	-0.4239607672
68	-0.4183962314
69	-0.4115437199
70	-0.4069117289
71	-0.4016706257
72	-0.394472327
73	-0.390547811
74	-0.3844063704
75	-0.3792007062
76	-0.374826109
77	-0.3704516549
78	-0.3656378508
79	-0.3589056976
80	-0.3541732107
81	-0.3496489783
82	-0.3446113045
83	-0.3399685419
84	-0.3361399719
85	-0.3328689091
86	-0.3286541334
87	-0.3245343802
88	-0.3195651207
89	-0.3151057804
90	-0.3111312262
91	-0.3073801457
92	-0.3046139895
93	-0.301551516
94	-0.297224869
95	-0.2930485853
96	-0.2896915676
97	-0.2853741615
98	-0.2832221258
99	-0.2806713536
100	-0.277095876
101	-0.2741450893
102	-0.2706638994
103	-0.267655063
104	-0.2648974916
105	-0.2621105547
106	-0.2590192482
107	-0.2562081541
108	-0.2542794199
109	-0.2520054837
110	-0.2493448332
111	-0.2472739224
112	-0.2451990073
113	-0.2426023725
114	-0.2406135806
115	-0.2388221186
116	-0.236703337
117	-0.2345612972
118	-0.2314114176
119	-0.2285124671
120	-0.2258000562
121	-0.2227794849
122	-0.2204019281
123	-0.2178299139
