iter	Passed	Remaining
0	63	63765
1	136	67865
2	190	63236
3	246	61407
4	306	61057
5	363	60174
6	421	59820
7	485	60161
8	545	60059
9	604	59863
10	659	59322
11	719	59239
12	780	59250
13	846	59652
14	912	59889
15	977	60143
16	1038	60043
17	1101	60102
18	1161	59989
19	1222	59880
20	1280	59676
21	1344	59769
22	1410	59901
23	1469	59761
24	1527	59567
25	1586	59425
26	1644	59269
27	1701	59054
28	1759	58918
29	1817	58760
30	1875	58622
31	1940	58707
32	2000	58629
33	2062	58597
34	2118	58415
35	2175	58244
36	2231	58087
37	2288	57947
38	2359	58132
39	2416	57997
40	2472	57838
41	2529	57697
42	2588	57605
43	2643	57438
44	2699	57294
45	2767	57405
46	2829	57367
47	2888	57289
48	2944	57143
49	3003	57072
50	3061	56973
51	3120	56884
52	3177	56770
53	3237	56715
54	3297	56648
55	3353	56534
56	3410	56430
57	3479	56518
58	3536	56404
59	3594	56309
60	3651	56212
61	3714	56195
62	3751	55798
63	3814	55789
64	3872	55697
65	3932	55649
66	3988	55534
67	4051	55526
68	4109	55444
69	4168	55382
70	4225	55291
71	4283	55204
72	4340	55121
73	4400	55066
74	4457	54971
75	4519	54951
76	4575	54844
77	4633	54764
78	4693	54723
79	4755	54687
80	4817	54661
81	4878	54620
82	4939	54575
83	4998	54504
84	5055	54422
85	5116	54379
86	5174	54297
87	5232	54224
88	5288	54129
89	5345	54051
90	5403	53976
91	5464	53927
92	5521	53845
93	5585	53834
94	5642	53750
95	5700	53684
96	5757	53599
97	5813	53511
98	5871	53436
99	5928	53355
100	6003	53439
101	6059	53343
102	6113	53240
103	6172	53174
104	6229	53101
105	6286	53023
106	6344	52952
107	6409	52936
108	6464	52844
109	6525	52799
110	6584	52737
111	6642	52665
112	6698	52580
113	6756	52512
114	6812	52423
115	6868	52345
116	6924	52259
117	6980	52172
118	7034	52081
119	7095	52030
120	7151	51951
121	7210	51895
122	7278	51898
123	7335	51824
124	7398	51791
125	7462	51765
126	7526	51734
127	7592	51726
128	7650	51658
129	7710	51600
130	7772	51557
131	7835	51521
132	7893	51455
133	7952	51391
134	8016	51365
135	8074	51297
136	8133	51233
137	8188	51145
138	8243	51061
139	8299	50985
140	8356	50909
141	8417	50861
142	8474	50789
143	8529	50705
144	8587	50634
145	8645	50571
146	8704	50507
147	8763	50447
148	8818	50365
149	8880	50323
150	8946	50300
151	9007	50251
152	9061	50166
153	9116	50083
154	9175	50021
155	9229	49934
156	9285	49858
157	9344	49798
158	9404	49744
159	9460	49666
160	9519	49607
161	9576	49536
162	9632	49461
163	9688	49388
164	9744	49311
165	9798	49228
166	9853	49147
167	9908	49069
168	9963	48990
169	10020	48921
170	10073	48837
171	10130	48767
172	10190	48714
173	10247	48644
174	10300	48558
175	10357	48489
176	10412	48415
177	10475	48373
178	10528	48291
179	10587	48234
180	10643	48159
181	10699	48087
182	10756	48022
183	10815	47965
184	10874	47907
185	10932	47846
186	10988	47773
187	11053	47741
188	11114	47690
189	11170	47622
190	11228	47559
191	11264	47404
192	11320	47335
193	11376	47266
194	11439	47223
195	11493	47148
196	11551	47085
197	11609	47024
198	11664	46950
199	11718	46872
200	11770	46790
201	11824	46711
202	11880	46642
203	11941	46596
204	11997	46526
205	12057	46475
206	12112	46400
207	12169	46338
208	12231	46294
209	12291	46240
210	12353	46194
211	12408	46122
212	12467	46064
213	12527	46011
214	12580	45935
215	12637	45868
216	12692	45799
217	12749	45735
218	12803	45659
219	12866	45618
220	12922	45551
221	12985	45508
222	13047	45463
223	13103	45393
224	13157	45320
225	13212	45251
226	13270	45189
227	13327	45126
228	13381	45053
229	13437	44986
230	13490	44910
231	13548	44848
232	13602	44777
233	13658	44711
234	13714	44643
235	13770	44578
236	13822	44500
237	13856	44364
238	13917	44313
239	13970	44239
240	14024	44169
241	14078	44097
242	14132	44027
243	14189	43965
244	14246	43903
245	14303	43839
246	14357	43770
247	14410	43697
248	14444	43566
249	14498	43496
250	14553	43428
251	14612	43372
252	14676	43332
253	14730	43263
254	14788	43206
255	14845	43144
256	14901	43082
257	14970	43055
258	15024	42984
259	15045	42821
260	15078	42693
261	15133	42627
262	15186	42558
263	15241	42492
264	15299	42433
265	15353	42366
266	15411	42308
267	15467	42247
268	15524	42187
269	15582	42130
270	15644	42084
271	15703	42028
272	15757	41961
273	15814	41901
274	15873	41848
275	15928	41783
276	15985	41723
277	16040	41659
278	16094	41592
279	16148	41523
280	16204	41462
281	16263	41407
282	16326	41363
283	16348	41215
284	16409	41167
285	16463	41100
286	16516	41033
287	16571	40967
288	16629	40913
289	16664	40800
290	16718	40733
291	16778	40681
292	16838	40629
293	16891	40562
294	16944	40494
295	16997	40426
296	17051	40360
297	17106	40297
298	17167	40249
299	17223	40187
300	17277	40122
301	17330	40055
302	17384	39991
303	17440	39928
304	17490	39855
305	17543	39788
306	17597	39722
307	17651	39659
308	17706	39597
309	17760	39531
310	17814	39466
311	17877	39422
312	17934	39363
313	17987	39297
314	18044	39239
315	18102	39184
316	18157	39122
317	18212	39059
318	18267	38997
319	18323	38938
320	18378	38874
321	18434	38815
322	18490	38755
323	18553	38710
324	18607	38646
325	18662	38584
326	18716	38519
327	18772	38461
328	18827	38398
329	18882	38336
330	18904	38208
331	18968	38164
332	19027	38111
333	19081	38048
334	19135	37984
335	19188	37920
336	19243	37858
337	19305	37811
338	19364	37758
339	19422	37702
340	19475	37637
341	19529	37573
342	19582	37508
343	19636	37446
344	19691	37385
345	19746	37323
346	19802	37265
347	19856	37201
348	19912	37142
349	19965	37079
350	20020	37017
351	20082	36969
352	20141	36917
353	20198	36858
354	20255	36802
355	20313	36746
356	20368	36685
357	20424	36628
358	20476	36561
359	20533	36504
360	20590	36446
361	20646	36388
362	20702	36329
363	20758	36269
364	20812	36207
365	20865	36143
366	20918	36079
367	20970	36014
368	21024	35952
369	21076	35887
370	21131	35827
371	21185	35765
372	21239	35703
373	21296	35646
374	21352	35587
375	21406	35526
376	21464	35470
377	21518	35407
378	21573	35348
379	21629	35290
380	21683	35228
381	21736	35165
382	21759	35054
383	21821	35005
384	21883	34956
385	21940	34900
386	21998	34845
387	22055	34788
388	22109	34727
389	22164	34666
390	22219	34608
391	22272	34545
392	22327	34485
393	22386	34431
394	22444	34377
395	22497	34315
396	22549	34250
397	22606	34193
398	22661	34133
399	22716	34074
400	22770	34014
401	22827	33956
402	22882	33897
403	22935	33834
404	22999	33789
405	23054	33730
406	23114	33677
407	23170	33619
408	23232	33570
409	23291	33517
410	23351	33464
411	23407	33406
412	23467	33354
413	23524	33298
414	23576	33234
415	23634	33178
416	23688	33118
417	23752	33071
418	23809	33015
419	23867	32959
420	23924	32903
421	23983	32849
422	24039	32792
423	24097	32735
424	24151	32675
425	24205	32615
426	24258	32553
427	24313	32493
428	24367	32433
429	24421	32372
430	24476	32313
431	24533	32256
432	24588	32197
433	24647	32143
434	24706	32089
435	24760	32030
436	24814	31969
437	24881	31925
438	24935	31864
439	24990	31805
440	25051	31754
441	25111	31702
442	25179	31659
443	25236	31602
444	25291	31542
445	25344	31481
446	25398	31421
447	25453	31362
448	25511	31307
449	25564	31245
450	25585	31144
451	25646	31093
452	25704	31037
453	25758	30978
454	25816	30922
455	25878	30872
456	25930	30809
457	25986	30752
458	26040	30692
459	26096	30635
460	26151	30576
461	26206	30516
462	26260	30457
463	26318	30402
464	26373	30344
465	26430	30287
466	26490	30233
467	26546	30176
468	26601	30117
469	26654	30057
470	26708	29997
471	26763	29939
472	26819	29881
473	26872	29820
474	26928	29763
475	26982	29703
476	27035	29642
477	27091	29584
478	27146	29527
479	27168	29432
480	27224	29375
481	27285	29323
482	27347	29272
483	27402	29214
484	27457	29155
485	27511	29096
486	27568	29040
487	27627	28986
488	27687	28933
489	27741	28874
490	27797	28817
491	27855	28761
492	27912	28705
493	27969	28649
494	28027	28593
495	28084	28536
496	28140	28480
497	28201	28428
498	28258	28371
499	28313	28313
500	28372	28259
501	28430	28203
502	28483	28143
503	28540	28087
504	28594	28028
505	28649	27970
506	28703	27910
507	28758	27852
508	28810	27791
509	28877	27744
510	28936	27690
511	28990	27631
512	29043	27571
513	29098	27513
514	29152	27454
515	29175	27365
516	29196	27275
517	29249	27216
518	29305	27160
519	29361	27103
520	29416	27045
521	29471	26987
522	29529	26932
523	29587	26877
524	29645	26822
525	29704	26767
526	29763	26713
527	29820	26658
528	29877	26601
529	29936	26547
530	29993	26491
531	30051	26436
532	30108	26380
533	30163	26322
534	30226	26271
535	30283	26215
536	30343	26162
537	30401	26106
538	30463	26054
539	30523	26001
540	30578	25943
541	30637	25889
542	30695	25834
543	30759	25783
544	30814	25725
545	30868	25667
546	30930	25615
547	30985	25557
548	31050	25507
549	31108	25452
550	31170	25399
551	31229	25345
552	31287	25290
553	31346	25235
554	31402	25178
555	31427	25096
556	31487	25042
557	31543	24985
558	31614	24940
559	31672	24885
560	31703	24809
561	31773	24763
562	31835	24710
563	31887	24650
564	31946	24596
565	32003	24539
566	32067	24489
567	32130	24437
568	32195	24387
569	32253	24331
570	32310	24274
571	32365	24217
572	32423	24162
573	32482	24107
574	32542	24053
575	32599	23997
576	32655	23940
577	32712	23883
578	32771	23828
579	32826	23771
580	32881	23713
581	32935	23654
582	32991	23597
583	33056	23547
584	33113	23490
585	33170	23434
586	33223	23375
587	33290	23326
588	33345	23268
589	33401	23211
590	33459	23155
591	33519	23101
592	33578	23046
593	33635	22989
594	33692	22933
595	33748	22876
596	33804	22819
597	33858	22760
598	33914	22704
599	33970	22646
600	34023	22587
601	34081	22532
602	34140	22477
603	34197	22421
604	34257	22366
605	34316	22311
606	34374	22255
607	34435	22202
608	34491	22144
609	34547	22087
610	34605	22031
611	34663	21976
612	34721	21920
613	34778	21864
614	34835	21807
615	34892	21751
616	34951	21696
617	35006	21638
618	35064	21582
619	35119	21524
620	35175	21467
621	35237	21414
622	35311	21368
623	35370	21312
624	35432	21259
625	35502	21210
626	35559	21154
627	35618	21098
628	35677	21043
629	35735	20987
630	35804	20938
631	35866	20884
632	35927	20829
633	35990	20776
634	36053	20723
635	36110	20667
636	36167	20610
637	36224	20553
638	36286	20500
639	36348	20445
640	36417	20395
641	36477	20340
642	36533	20283
643	36590	20227
644	36645	20169
645	36724	20124
646	36790	20072
647	36856	20020
648	36922	19969
649	36987	19916
650	37054	19864
651	37120	19812
652	37181	19757
653	37237	19700
654	37296	19644
655	37361	19591
656	37424	19538
657	37488	19484
658	37552	19431
659	37609	19374
660	37668	19318
661	37725	19261
662	37783	19205
663	37848	19152
664	37902	19093
665	37960	19037
666	37981	18962
667	38036	18904
668	38096	18849
669	38154	18792
670	38210	18734
671	38265	18677
672	38324	18621
673	38382	18564
674	38442	18509
675	38506	18455
676	38561	18398
677	38619	18341
678	38689	18290
679	38748	18234
680	38810	18179
681	38869	18123
682	38933	18069
683	38988	18012
684	39048	17956
685	39105	17899
686	39166	17844
687	39229	17789
688	39291	17735
689	39350	17678
690	39410	17623
691	39466	17566
692	39522	17508
693	39578	17450
694	39636	17394
695	39690	17336
696	39751	17280
697	39814	17226
698	39873	17170
699	39940	17117
700	40000	17061
701	40063	17007
702	40121	16950
703	40178	16893
704	40240	16838
705	40299	16781
706	40363	16727
707	40422	16671
708	40485	16616
709	40550	16562
710	40603	16504
711	40659	16446
712	40715	16388
713	40772	16331
714	40830	16275
715	40888	16218
716	40943	16160
717	40999	16103
718	41059	16046
719	41115	15989
720	41169	15931
721	41223	15872
722	41276	15814
723	41339	15759
724	41397	15702
725	41449	15643
726	41504	15585
727	41561	15528
728	41624	15473
729	41680	15415
730	41734	15357
731	41792	15300
732	41851	15244
733	41913	15189
734	41974	15133
735	42034	15077
736	42090	15020
737	42152	14964
738	42206	14906
739	42259	14848
740	42326	14794
741	42384	14737
742	42437	14678
743	42494	14621
744	42549	14563
745	42603	14505
746	42659	14448
747	42714	14390
748	42770	14332
749	42828	14276
750	42883	14218
751	42936	14159
752	42990	14101
753	43053	14046
754	43109	13989
755	43164	13931
756	43217	13873
757	43276	13816
758	43334	13759
759	43393	13703
760	43447	13645
761	43507	13589
762	43584	13538
763	43643	13481
764	43698	13423
765	43752	13365
766	43807	13307
767	43862	13250
768	43917	13192
769	43971	13134
770	44027	13076
771	44081	13018
772	44135	12960
773	44190	12903
774	44247	12845
775	44301	12788
776	44358	12730
777	44415	12673
778	44472	12616
779	44526	12558
780	44589	12503
781	44645	12445
782	44701	12388
783	44758	12331
784	44816	12274
785	44871	12216
786	44931	12160
787	44995	12105
788	45056	12049
789	45116	11992
790	45172	11935
791	45233	11879
792	45288	11821
793	45341	11763
794	45395	11705
795	45450	11648
796	45505	11590
797	45561	11532
798	45617	11475
799	45678	11419
800	45735	11362
801	45792	11305
802	45845	11247
803	45901	11189
804	45959	11132
